seq,el_1,el_2,el_3
762,1,10762,[10762]
763,1,10763,[10763]
764,1,10764,[10764]
765,1,10765,[10765]
766,1,10766,[10766]
767,1,10767,[10767]
768,1,10768,[10768]
769,1,10769,[10769]
770,1,10770,[10770]
771,1,10771,[10771]
772,1,10772,[10772]
773,1,10773,[10773]
774,1,10774,[10774]
775,1,10775,[10775]
776,1,10776,[10776]
777,1,10777,[10777]
778,1,10778,[10778]
779,1,10779,[10779]
780,1,10780,[10780]
781,1,10781,[10781]
782,1,10782,[10782]
783,1,10783,[10783]
784,1,10784,[10784]
785,1,10785,[10785]
786,1,10786,[10786]
787,1,10787,[10787]
788,1,10788,[10788]
789,1,10789,[10789]
790,1,10790,[10790]
791,1,10791,[10791]
792,1,10792,[10792]
793,1,10793,[10793]
794,1,10794,[10794]
795,1,10795,[10795]
796,1,10796,[10796]
797,1,10797,[10797]
798,1,10798,[10798]
799,1,10799,[10799]
800,1,10800,[10800]
801,1,10801,[10801]
802,1,10802,[10802]
803,1,10803,[10803]
804,1,10804,[10804]
805,1,10805,[10805]
806,1,10806,[10806]
807,1,10807,[10807]
808,1,10808,[10808]
809,1,10809,[10809]
810,1,10810,[10810]
811,1,10811,[10811]
812,1,10812,[10812]
813,1,10813,[10813]
814,1,10814,[10814]
815,1,10815,[10815]
816,1,10816,[10816]
817,1,10817,[10817]
818,1,10818,[10818]
819,1,10819,[10819]
820,1,10820,[10820]
821,1,10821,[10821]
822,1,10822,[10822]
823,1,10823,[10823]
824,1,10824,[10824]
825,1,10825,[10825]
826,1,10826,[10826]
827,1,10827,[10827]
828,1,10828,[10828]
829,1,10829,[10829]
830,1,10830,[10830]
831,1,10831,[10831]
832,1,10832,[10832]
833,1,10833,[10833]
834,1,10834,[10834]
835,1,10835,[10835]
836,1,10836,[10836]
837,1,10837,[10837]
838,1,10838,[10838]
839,1,10839,[10839]
840,1,10840,[10840]
841,1,10841,[10841]
842,1,10842,[10842]
843,1,10843,[10843]
844,1,10844,[10844]
845,1,10845,[10845]
846,1,10846,[10846]
847,1,10847,[10847]
848,1,10848,[10848]
849,1,10849,[10849]
850,1,10850,[10850]
851,1,10851,[10851]
852,1,10852,[10852]
853,1,10853,[10853]
854,1,10854,[10854]
855,1,10855,[10855]
856,1,10856,[10856]
857,1,10857,[10857]
858,1,10858,[10858]
859,1,10859,[10859]
860,1,10860,[10860]
861,1,10861,[10861]
862,1,10862,[10862]
863,1,10863,[10863]
864,1,10864,[10864]
865,1,10865,[10865]
866,1,10866,[10866]
867,1,10867,[10867]
868,1,10868,[10868]
869,1,10869,[10869]
870,1,10870,[10870]
871,1,10871,[10871]
872,1,10872,[10872]
873,1,10873,[10873]
874,1,10874,[10874]
875,1,10875,[10875]
876,1,10876,[10876]
877,1,10877,[10877]
878,1,10878,[10878]
879,1,10879,[10879]
880,1,10880,[10880]
881,1,10881,[10881]
882,1,10882,[10882]
883,1,10883,[10883]
884,1,10884,[10884]
885,1,10885,[10885]
886,1,10886,[10886]
887,1,10887,[10887]
888,1,10888,[10888]
889,1,10889,[10889]
890,1,10890,[10890]
891,1,10891,[10891]
892,1,10892,[10892]
893,1,10893,[10893]
894,1,10894,[10894]
895,1,10895,[10895]
896,1,10896,[10896]
897,1,10897,[10897]
898,1,10898,[10898]
899,1,10899,[10899]
900,1,10900,[10900]
901,1,10901,[10901]
902,1,10902,[10902]
903,1,10903,[10903]
904,1,10904,[10904]
905,1,10905,[10905]
906,1,10906,[10906]
907,1,10907,[10907]
908,1,10908,[10908]
909,1,10909,[10909]
910,1,10910,[10910]
911,1,10911,[10911]
912,1,10912,[10912]
913,1,10913,[10913]
914,1,10914,[10914]
915,1,10915,[10915]
916,1,10916,[10916]
917,1,10917,[10917]
918,1,10918,[10918]
919,1,10919,[10919]
920,1,10920,[10920]
921,1,10921,[10921]
922,1,10922,[10922]
923,1,10923,[10923]
924,1,10924,[10924]
925,1,10925,[10925]
926,1,10926,[10926]
927,1,10927,[10927]
928,1,10928,[10928]
929,1,10929,[10929]
930,1,10930,[10930]
931,1,10931,[10931]
932,1,10932,[10932]
933,1,10933,[10933]
934,1,10934,[10934]
935,1,10935,[10935]
936,1,10936,[10936]
937,1,10937,[10937]
938,1,10938,[10938]
939,1,10939,[10939]
940,1,10940,[10940]
941,1,10941,[10941]
942,1,10942,[10942]
943,1,10943,[10943]
944,1,10944,[10944]
945,1,10945,[10945]
946,1,10946,[10946]
947,1,10947,[10947]
948,1,10948,[10948]
949,1,10949,[10949]
950,1,10950,[10950]
951,1,10951,[10951]
952,1,10952,[10952]
953,1,10953,[10953]
954,1,10954,[10954]
955,1,10955,[10955]
956,1,10956,[10956]
957,1,10957,[10957]
958,1,10958,[10958]
959,1,10959,[10959]
960,1,10960,[10960]
961,1,10961,[10961]
962,1,10962,[10962]
963,1,10963,[10963]
964,1,10964,[10964]
965,1,10965,[10965]
966,1,10966,[10966]
967,1,10967,[10967]
968,1,10968,[10968]
969,1,10969,[10969]
970,1,10970,[10970]
971,1,10971,[10971]
972,1,10972,[10972]
973,1,10973,[10973]
974,1,10974,[10974]
975,1,10975,[10975]
976,1,10976,[10976]
977,1,10977,[10977]
978,1,10978,[10978]
979,1,10979,[10979]
980,1,10980,[10980]
981,1,10981,[10981]
982,1,10982,[10982]
983,1,10983,[10983]
984,1,10984,[10984]
985,1,10985,[10985]
986,1,10986,[10986]
987,1,10987,[10987]
988,1,10988,[10988]
989,1,10989,[10989]
990,1,10990,[10990]
991,1,10991,[10991]
992,1,10992,[10992]
993,1,10993,[10993]
994,1,10994,[10994]
995,1,10995,[10995]
996,1,10996,[10996]
997,1,10997,[10997]
998,1,10998,[10998]
999,1,10999,[10999]
1000,1,11000,[11000]
1001,1,11001,[11001]
1002,1,11002,[11002]
1003,1,11003,[11003]
1004,1,11004,[11004]
1005,1,11005,[11005]
1006,1,11006,[11006]
1007,1,11007,[11007]
1008,1,11008,[11008]
1009,1,11009,[11009]
1010,1,11010,[11010]
1011,1,11011,[11011]
1012,1,11012,[11012]
1013,1,11013,[11013]
1014,1,11014,[11014]
1015,1,11015,[11015]
1016,1,11016,[11016]
1017,1,11017,[11017]
1018,1,11018,[11018]
1019,1,11019,[11019]
1020,1,11020,[11020]
1021,1,11021,[11021]
1022,1,11022,[11022]
1023,1,11023,[11023]
1024,1,11024,[11024]
1025,1,11025,[11025]
1026,1,11026,[11026]
1027,1,11027,[11027]
1028,1,11028,[11028]
1029,1,11029,[11029]
1030,1,11030,[11030]
1031,1,11031,[11031]
1032,1,11032,[11032]
1033,1,11033,[11033]
1034,1,11034,[11034]
1035,1,11035,[11035]
1036,1,11036,[11036]
1037,1,11037,[11037]
1038,1,11038,[11038]
1039,1,11039,[11039]
1040,1,11040,[11040]
1041,1,11041,[11041]
1042,1,11042,[11042]
1043,1,11043,[11043]
1044,1,11044,[11044]
1045,1,11045,[11045]
1046,1,11046,[11046]
1047,1,11047,[11047]
1048,1,11048,[11048]
1049,1,11049,[11049]
1050,1,11050,[11050]
1051,1,11051,[11051]
1052,1,11052,[11052]
1053,1,11053,[11053]
1054,1,11054,[11054]
1055,1,11055,[11055]
1056,1,11056,[11056]
1057,1,11057,[11057]
1058,1,11058,[11058]
1059,1,11059,[11059]
1060,1,11060,[11060]
1061,1,11061,[11061]
1062,1,11062,[11062]
1063,1,11063,[11063]
1064,1,11064,[11064]
1065,1,11065,[11065]
1066,1,11066,[11066]
1067,1,11067,[11067]
1068,1,11068,[11068]
1069,1,11069,[11069]
1070,1,11070,[11070]
1071,1,11071,[11071]
1072,1,11072,[11072]
1073,1,11073,[11073]
1074,1,11074,[11074]
1075,1,11075,[11075]
1076,1,11076,[11076]
1077,1,11077,[11077]
1078,1,11078,[11078]
1079,1,11079,[11079]
1080,1,11080,[11080]
1081,1,11081,[11081]
1082,1,11082,[11082]
1083,1,11083,[11083]
1084,1,11084,[11084]
1085,1,11085,[11085]
1086,1,11086,[11086]
1087,1,11087,[11087]
1088,1,11088,[11088]
1089,1,11089,[11089]
1090,1,11090,[11090]
1091,1,11091,[11091]
1092,1,11092,[11092]
1093,1,11093,[11093]
1094,1,11094,[11094]
1095,1,11095,[11095]
1096,1,11096,[11096]
1097,1,11097,[11097]
1098,1,11098,[11098]
1099,1,11099,[11099]
1100,1,11100,[11100]
1101,1,11101,[11101]
1102,1,11102,[11102]
1103,1,20001,[20001]
1104,1,20002,[20002]
1105,1,20003,[20003]
1106,1,20004,[20004]
1107,1,20005,[20005]
1108,1,20006,[20006]
1109,1,20007,[20007]
1110,1,20008,[20008]
1111,1,20009,[20009]
1112,1,20010,[20010]
1113,1,20011,[20011]
1114,1,20012,[20012]
1115,1,20013,[20013]
1116,1,20014,[20014]
1117,1,20015,[20015]
1118,1,20016,[20016]
1119,1,20017,[20017]
1120,1,20018,[20018]
1121,1,20019,[20019]
1122,1,20020,[20020]
1123,1,20021,[20021]
1124,1,20022,[20022]
1125,1,20023,[20023]
1126,1,20024,[20024]
1127,1,20025,[20025]
1128,1,20026,[20026]
1129,1,20027,[20027]
1130,1,20028,[20028]
1131,1,20029,[20029]
1132,1,20030,[20030]
1133,1,20031,[20031]
1134,1,20032,[20032]
1135,1,20033,[20033]
1136,1,20034,[20034]
1137,1,20035,[20035]
1138,1,20036,[20036]
1139,1,20037,[20037]
1140,1,20038,[20038]
1141,1,20039,[20039]
1142,1,20040,[20040]
1143,1,20041,[20041]
1144,1,20042,[20042]
1145,1,20043,[20043]
1146,1,20044,[20044]
1147,1,20045,[20045]
1148,1,20046,[20046]
1149,1,20047,[20047]
1150,1,20048,[20048]
